Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
BOOT_BUTTON,48.93,108.68,180,"BUTTON_CUSYOMV1""""",MYBUTTON,
C1,28.45,69.97,0,100nF,EAGLE-LTSPICE_C0402,
C10,61.2,103.36,180,100nF,EAGLE-LTSPICE_C0402,
C10_SUPERCAP,76.66,49.87,270,CPH3225A,CAPCP3225X100N,
C1_BAT,144.75,52.92,180,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT1,153.26,35.01,0,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT2,160.71,25.34,270,4.7uF,EAGLE-LTSPICE_C0402,
C2,28.45,71.78,0,100nF,EAGLE-LTSPICE_C0402,
C2_BAT,133.45,53.13,180,4.7uF,EAGLE-LTSPICE_C0402,
C3,161.93,29.63,0,100uF TANT,RCL_CT3528,
C4,83.61,40.38,0,4.7uF/25V,EAGLE-LTSPICE_C0402,
C4_USB,155.9,40.61,90,100nF,EAGLE-LTSPICE_C0402,
C5,19.8,105.26,0,1uF,EAGLE-LTSPICE_C0402,
C5_USB,157.71,40.61,90,4.7uF,EAGLE-LTSPICE_C0402,
C6,45.2,102.55,180,100nF,EAGLE-LTSPICE_C0402,
C7,100.61,38.57,0,10uF,EAGLE-LTSPICE_C0402,
C8,79.12,49.79,270,100nF,EAGLE-LTSPICE_C0402,
C9,3.62,98.55,90,100nF,EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,63.93,108.68,180,"BUTTON_CUSYOMV1""""",MYBUTTON,
CHG_LED,144.76,54.67,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,36.75,96.47,270,100nF,EAGLE-LTSPICE_C0402,
D1,162.07,40.42,270,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,41.04,28.13,90,"PGB1010603MR""",DIOC1608X36N,
D11,37.23,28.13,90,"PGB1010603MR""",DIOC1608X36N,
D12,33.42,28.13,90,"PGB1010603MR""",DIOC1608X36N,
D2,150.01,36.34,270,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,77.15,40.67,0,"MBR0530""",SOD3716X135N,
D4,81.48,35.85,270,"MBR0530""",SOD3716X135N,
D5,85.14,36.15,90,"MBR0530""",SOD3716X135N,
D6,48.66,28.13,90,"PGB1010603MR""",DIOC1608X36N,
D7,88.96,66.81,90,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,52.47,28.13,90,"PGB1010603MR""",DIOC1608X36N,
D9,44.85,28.13,90,"PGB1010603MR""",DIOC1608X36N,
EPD_C1,89.45,24.91,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C10,76.32,24.91,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C11,75.3,29.91,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C12,74.27,24.91,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C2,88.42,24.91,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C5,81.43,24.91,90,0.1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C6,80.4,24.96,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C7,79.38,24.96,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C8,78.35,24.91,90,1uF/50V,EAGLE-LTSPICE_C0402,
EPD_C9,78.4,29.91,90,1uF/50V,EAGLE-LTSPICE_C0402,
IC1,33.34,97.83,0,BD5229G-TR,SOT95P280X125-5N,
IC4,153.59,27.49,270,XC6220A331MR-G,SOT95P280X120-5N,
J1,82.8,14.12,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,166.03,54.3,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,167.16,19.3,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,8.33,87.79,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,94.12,40.97,0,68uH,IND_4828-WE-TPC_WRE,
PFMF.050.1,148.99,44.12,270,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,153.75,31.93,90,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,99.94,44.28,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,92.97,30.15,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,19.24,45.64,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,52.61,33.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,141.85,54.59,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,40.55,71.86,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,79.77,69.63,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRBUS,146.66,34.58,0,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,99.2,24.94,180,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,156.5,57.01,180,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,156.5,53.18,0,5K1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,141.55,51.5,180,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_PINH,40.55,72.89,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_PINH1,85.26,66.63,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,95.8,26.95,0,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,95.8,20.14,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,44.99,33.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,41.18,33.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,37.37,33.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,33.56,33.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,48.8,33.13,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,23.93,108.66,180,"BUTTON_CUSYOMV1""""",MYBUTTON,
R_BOOT,44.65,92.6,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CAPACITOR,81.21,49.93,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CHANGE,52.66,92.8,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_CL1,93.45,45.27,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R_RESET,28.04,92.8,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
SENSOR2,36.45,76.01,0,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N,
SJ1,99.2,29.02,180,,SJ,
TP1,12.13,68.88,0,TPTP20R,TP20R,
TP10,83.03,24.73,0,TPTP20R,TP20R,
TP11,83.07,26.85,0,TPTP20R,TP20R,
TP12,83.04,28.98,0,TPTP20R,TP20R,
TP13,97.13,46.92,0,TPTP20R,TP20R,
TP14,147.13,39.84,0,TPTP20R,TP20R,
TP15,78.13,70.08,0,TPTP20R,TP20R,
TP16,13.13,42.68,0,TPTP20R,TP20R,
TP17,83.03,22.6,0,TPTP20R,TP20R,
TP2,15.26,73.8,0,TPTP20R,TP20R,
TP3,134.13,49.72,0,TPTP20R,TP20R,
TP4,8.91,43.46,0,TPTP20R,TP20R,
TP5,8.13,45.56,0,TPTP20R,TP20R,
TP6,35.28,28.37,270,TPTP20R,TP20R,
TP7,39.1,28.27,270,TPTP20R,TP20R,
TP8,42.95,30.87,270,TPTP20R,TP20R,
TP9,83.05,31.11,0,TPTP20R,TP20R,
U1,42.51,57.34,0,W25Q512JVEIQ,SON127P600X800X80-9N,
U2,16,56.95,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,
U3,77.9,59.98,270,DS3231SN#,SOIC127P1032X265-16N,
U4,130.93,47.1,180,MAX17048G+T10,SON50P200X200X80-9N,
U5,138.54,53.19,180,MCP73831,SOT23-5,
